thita,fay,f_edge,f_grad,f_var,f_mean,f_hist,f_dir,f_Q
0,0,0.246497,0.655294,0.505034,0.220424,0.0850119,0,0.928518
10,0,0.327547,0.991922,0.35256,0.208245,0.0769261,0,1.09357
10,10,0.325915,0.991212,0.350357,0.207934,0.0758016,0,1.09032
10,20,0.323617,1,0.339337,0.206667,0.0772502,0,1.08899
10,30,0.325593,1,0.324323,0.204537,0.0812621,0,1.08403
10,40,0.332811,1,0.293077,0.20018,0.0843191,0,1.07267
10,50,0.335401,1,0.25441,0.194522,0.0850139,0,1.05301
10,60,0.34086,1,0.201935,0.187045,0.0834466,0,1.0262
10,70,0.348389,1,0.154522,0.179635,0.0784744,0,1.00131
10,80,0.353708,1,0.128567,0.17413,0.072025,0,0.985775
10,90,0.360396,1,0.125923,0.17109,0.0669979,0,0.984484
10,100,0.370382,1,0.130847,0.168784,0.0607272,0,0.988566
10,110,0.373622,1,0.1477,0.168003,0.05548,0,0.995738
10,120,0.377707,1,0.172262,0.168199,0.050255,0,1.00768
10,130,0.373933,1,0.190564,0.16809,0.0466906,0,1.01256
10,140,0.370684,1,0.20288,0.167313,0.0425719,0,1.01419
10,150,0.364943,1,0.213473,0.166543,0.0398875,0,1.01426
10,160,0.358599,1,0.224205,0.165979,0.0374694,0,1.01426
10,170,0.358636,1,0.233032,0.166071,0.0368408,0,1.01839
10,180,0.357522,1,0.22947,0.165368,0.0378475,0,1.01621
10,190,0.358925,1,0.234032,0.166126,0.0373182,0,1.01935
10,200,0.358878,1,0.220237,0.165535,0.0379893,0,1.01255
10,210,0.365909,1,0.209031,0.165766,0.0395983,0,1.01215
10,220,0.370534,1,0.197409,0.166383,0.0426716,0,1.01105
10,230,0.373046,1,0.185993,0.167206,0.0466224,0,1.00935
10,240,0.375249,1,0.168503,0.167393,0.050104,0,1.00392
10,250,0.370515,1,0.145299,0.167377,0.0546294,0,0.991956
10,260,0.365289,1,0.129563,0.168218,0.0600086,0,0.984246
10,270,0.35848,1,0.122826,0.170227,0.0662994,0,0.981057
10,280,0.351529,1,0.128338,0.173516,0.0715448,0,0.983843
10,290,0.344933,1,0.157996,0.17942,0.0783152,0,1.0008
10,300,0.336829,1,0.205392,0.186941,0.0830279,0,1.02524
10,310,0.331257,1,0.256358,0.194367,0.0848184,0,1.05133
10,320,0.328431,1,0.299459,0.200364,0.0836414,0,1.07294
10,330,0.320674,1,0.32676,0.204352,0.0801948,0,1.08163
10,340,0.321672,1,0.340312,0.206503,0.0768313,0,1.08802
10,350,0.324392,0.998934,0.349069,0.207745,0.0761399,0,1.09351
20,0,0.389012,1,0.0590687,0.151946,0.0561577,0,0.954607
20,10,0.38999,1,0.0579676,0.151395,0.051314,0,0.951758
20,20,0.394636,1,0.0569614,0.149838,0.046627,0,0.950842
20,30,0.400148,1,0.0568935,0.147473,0.0436594,0,0.951537
20,40,0.410357,1,0.0362925,0.141265,0.0422286,0,0.944092
20,50,0.415434,1,0.00909773,0.131142,0.0427257,0,0.929765
20,60,0.430253,0.998324,0.0692429,0.117955,0.0456993,0,0.964084
20,70,0.445576,1,0.108534,0.107213,0.0487858,0,0.99133
20,80,0.48092,0.993005,0.119655,0.0998921,0.044163,0,1.00843
20,90,0.477718,0.989956,0.104959,0.0957081,0.0364788,0,0.99143
20,100,0.46535,0.989511,0.0774168,0.0932634,0.0290313,0,0.964898
20,110,0.468797,0.991176,0.0331291,0.0932617,0.0194181,0,0.940533
20,120,0.469287,0.989315,0.0227112,0.0953117,0.0126568,0,0.931603
20,130,0.469345,1,0.0768245,0.0972703,0.00899507,0,0.963875
20,140,0.465241,1,0.118451,0.0977712,0.00960216,0,0.98276
20,150,0.460238,1,0.158966,0.0984301,0.00959314,0,1.00027
20,160,0.461963,1,0.178715,0.0968161,0.008991,0,1.01021
20,170,0.462577,1,0.175809,0.0938523,0.0102515,0,1.00863
20,180,0.460244,1,0.173086,0.0924102,0.0105823,0,1.00547
20,190,0.461556,1,0.174762,0.0936364,0.0101491,0,1.00735
20,200,0.461193,1,0.176503,0.0964413,0.00914012,0,1.00857
20,210,0.459913,1,0.154022,0.0974853,0.00938464,0,0.997114
20,220,0.465811,1,0.111211,0.0964905,0.00971531,0,0.979032
20,230,0.470541,1,0.0715709,0.0960518,0.0087599,0,0.961349
20,240,0.47167,0.993364,0.0210461,0.0944171,0.0120322,0,0.933928
20,250,0.470978,0.997769,0.0348068,0.0921934,0.0190891,0,0.946028
20,260,0.468127,0.988361,0.0779228,0.0922314,0.0287234,0,0.965545
20,270,0.478675,0.992621,0.102825,0.094905,0.0353512,0,0.991595
20,280,0.479893,0.999337,0.118262,0.0989119,0.0427185,0,1.00973
20,290,0.445191,1,0.108386,0.106162,0.0487013,0,0.990558
20,300,0.429138,1,0.0682113,0.117118,0.0455336,0,0.963479
20,310,0.41523,1,0.00707804,0.130592,0.0418497,0,0.927932
20,320,0.406346,1,0.0382318,0.140848,0.0412887,0,0.941972
20,330,0.396848,1,0.0595041,0.147173,0.0425437,0,0.950129
20,340,0.391355,0.999232,0.0596719,0.149796,0.0464211,0,0.949638
20,350,0.388984,0.99497,0.0585795,0.15132,0.051095,0,0.948292
30,0,0.434037,0.985445,0.00692101,0.0811934,0.0370769,0,0.90802
30,10,0.438664,0.987614,0.00164023,0.0800389,0.033908,0,0.907252
30,20,0.448757,0.986282,0.0103703,0.0767047,0.0261956,0,0.911298
30,30,0.456883,0.988493,0.0316795,0.0709629,0.0163957,0,0.920468
30,40,0.470754,0.983705,0.0628566,0.0624879,0.0105499,0,0.934901
30,50,0.493526,0.98427,0.123574,0.0473739,0.00996386,0,0.972894
30,60,0.528609,0.97218,0.199738,0.0282971,0.016321,0,1.02064
30,70,0.556082,0.963081,0.254662,0.0112876,0.0253262,0,1.05727
30,80,0.567507,0.971999,0.276077,0.0012038,0.0225087,0,1.0746
30,90,0.56706,0.974416,0.292094,0.0142107,0.0210428,0,1.08819
30,100,0.554513,0.964705,0.291279,0.0253066,0.0163793,0,1.0763
30,110,0.554768,0.954895,0.235517,0.0256813,0.00626616,0,1.03728
30,120,0.555829,0.970248,0.175389,0.0237642,0,0,1.01285
30,130,0.558694,0.971184,0.117751,0.0222539,0,0,0.985704
30,140,0.550988,0.973745,0.0649348,0.0220043,0,0,0.956109
30,150,0.537499,0.97746,0.00191178,0.0185509,0,0,0.917352
30,160,0.532675,0.973464,0.0732933,0.0155553,0,0,0.946552
30,170,0.527433,0.969237,0.120065,0.0136287,0,0,0.963485
30,180,0.528823,0.969846,0.135176,0.0129309,0,0,0.971962
30,190,0.527012,0.971949,0.117973,0.0139016,0,0,0.963924
30,200,0.533255,0.972542,0.0703669,0.0160138,0,0,0.945067
30,210,0.538059,0.977258,0.00280803,0.0197383,0,0,0.91849
30,220,0.551377,0.973983,0.0703712,0.023285,0,0,0.959715
30,230,0.559283,0.971457,0.123596,0.0238618,0,0,0.989786
30,240,0.557954,0.971621,0.17932,0.0252832,0,0,1.01752
30,250,0.558943,0.954156,0.240519,0.0277168,0.00495328,0,1.04193
30,260,0.557464,0.971875,0.294528,0.027291,0.0158616,0,1.08451
30,270,0.569802,0.976972,0.295995,0.0163187,0.0200063,0,1.09359
30,280,0.56792,0.972467,0.27873,0.00306563,0.0223269,0,1.0771
30,290,0.558033,0.97454,0.256751,0.00951036,0.0242628,0,1.06507
30,300,0.527582,0.970707,0.200758,0.0267461,0.0163111,0,1.01902
30,310,0.493303,0.97857,0.121012,0.0465501,0.00889951,0,0.967145
30,320,0.468184,0.984399,0.0614503,0.0616908,0.00982004,0,0.932353
30,330,0.456617,0.985245,0.0282193,0.0707124,0.0157026,0,0.916148
30,340,0.446006,0.987326,0.00593269,0.076785,0.0252954,0,0.907592
30,350,0.438044,0.991782,0.00549155,0.0802651,0.0331794,0,0.910996
40,0,0.482615,0.957121,0.0220976,0.0258316,0.0236828,0,0.898249
40,10,0.487016,0.954956,0.0305479,0.0277746,0.0198477,0,0.902483
40,20,0.499747,0.950086,0.0582646,0.033538,0.0110952,0,0.91855
40,30,0.528392,0.952923,0.124401,0.0467306,0.00685078,0,0.97345
40,40,0.577731,0.949939,0.23392,0.071538,0.0204042,0,1.0734
40,50,0.60689,0.963284,0.298571,0.0891917,0.0267024,0,1.14175
40,60,0.616992,0.963923,0.355416,0.106864,0.0345839,0,1.18802
40,70,0.624329,0.967437,0.411659,0.126826,0.0475895,0,1.23779
40,80,0.634023,0.973278,0.457486,0.147024,0.0675053,0,1.28906
40,90,0.629886,0.970627,0.472368,0.163236,0.0831179,0,1.3075
40,100,0.615724,0.968841,0.455576,0.174955,0.0859984,0,1.29581
40,110,0.601796,0.960932,0.406941,0.180348,0.0763734,0,1.25525
40,120,0.601885,0.957291,0.353857,0.184512,0.0646544,0,1.2218
40,130,0.608075,0.953919,0.298802,0.187158,0.0541682,0,1.19125
40,140,0.604412,0.939113,0.242574,0.18866,0.0381159,0,1.14383
40,150,0.603742,0.942769,0.196465,0.19227,0.0241775,0,1.11635
40,160,0.592009,0.945423,0.155958,0.196349,0.0108914,0,1.08497
40,170,0.583681,0.940868,0.124838,0.198039,0.00299269,0,1.05801
40,180,0.583154,0.939704,0.110252,0.198266,0.00061967,0,1.04849
40,190,0.581704,0.941282,0.124838,0.198429,0.00359696,0,1.05756
40,200,0.591842,0.943995,0.155672,0.196969,0.00907044,0,1.08311
40,210,0.601041,0.936622,0.197818,0.193067,0.0241301,0,1.11201
40,220,0.602183,0.947534,0.244939,0.190101,0.0384819,0,1.1495
40,230,0.607015,0.954417,0.301993,0.189056,0.0553397,0,1.19392
40,240,0.600256,0.955736,0.357185,0.186691,0.0661447,0,1.22324
40,250,0.603341,0.957585,0.412005,0.183092,0.0778165,0,1.25859
40,260,0.616629,0.963908,0.46054,0.177681,0.0886361,0,1.29841
40,270,0.631018,0.964391,0.478058,0.166209,0.088545,0,1.31146
40,280,0.637198,0.967636,0.461686,0.149611,0.0697508,0,1.29195
40,290,0.626825,0.964108,0.415403,0.129279,0.0495647,0,1.24123
40,300,0.616993,0.964034,0.358443,0.109205,0.0354376,0,1.19101
40,310,0.606711,0.96351,0.299304,0.0908489,0.0273109,0,1.14315
40,320,0.57957,0.949221,0.231213,0.0724301,0.0197919,0,1.07274
40,330,0.531133,0.955823,0.12079,0.0472988,0.00562344,0,0.974581
40,340,0.501406,0.952645,0.0541861,0.033772,0.0100441,0,0.918557
40,350,0.485841,0.957099,0.0288022,0.0278541,0.0194466,0,0.902002
50,0,0.538437,0.914958,0.0966033,0.1868,0.0335136,0,1.01349
50,10,0.543135,0.913836,0.116581,0.190847,0.0321105,0,1.02647
50,20,0.579526,0.910002,0.197045,0.209378,0.0460654,0,1.10133
50,30,0.628188,0.912225,0.269047,0.227408,0.058584,0,1.18196
50,40,0.644167,0.917079,0.331414,0.243055,0.0696324,0,1.23797
50,50,0.65502,0.931689,0.403988,0.262767,0.0972519,0,1.31262
50,60,0.667568,0.947991,0.470581,0.283671,0.133258,0,1.39139
50,70,0.671033,0.958212,0.518932,0.302559,0.171803,0,1.45253
50,80,0.674484,0.955471,0.532388,0.317715,0.190462,0,1.47601
50,90,0.664957,0.953696,0.51659,0.330456,0.192333,0,1.46745
50,100,0.649051,0.949665,0.479634,0.341747,0.184288,0,1.4371
50,110,0.632008,0.946518,0.437319,0.353766,0.180697,0,1.40667
50,120,0.634931,0.939668,0.395347,0.368339,0.174565,0,1.38578
50,130,0.642949,0.925558,0.365198,0.386444,0.177139,0,1.37571
50,140,0.637115,0.918341,0.343372,0.406239,0.179202,0,1.36602
50,150,0.625181,0.90747,0.32085,0.424787,0.171986,0,1.34452
50,160,0.620392,0.909364,0.303508,0.4425,0.166583,0,1.33823
50,170,0.608365,0.901928,0.275439,0.447339,0.153205,0,1.30709
50,180,0.59962,0.887329,0.262519,0.447855,0.151823,0,1.28607
50,190,0.607704,0.901491,0.274072,0.447243,0.151665,0,1.30487
50,200,0.622078,0.911863,0.301843,0.442747,0.164405,0,1.33881
50,210,0.626096,0.911611,0.320834,0.425533,0.169953,0,1.34673
50,220,0.63723,0.920322,0.344674,0.407558,0.179238,0,1.36847
50,230,0.639524,0.923545,0.365689,0.388184,0.177526,0,1.3736
50,240,0.631474,0.940995,0.397758,0.370535,0.177727,0,1.38832
50,250,0.631976,0.946913,0.437922,0.355785,0.181306,0,1.40833
50,260,0.647947,0.950471,0.482534,0.34428,0.188346,0,1.44162
50,270,0.664003,0.953164,0.519424,0.333022,0.196159,0,1.47111
50,280,0.674422,0.955025,0.534726,0.320001,0.194212,0,1.47985
50,290,0.671593,0.960514,0.521715,0.305168,0.174384,0,1.4581
50,300,0.667934,0.946948,0.472715,0.286203,0.135194,0,1.39412
50,310,0.657586,0.932492,0.405479,0.265068,0.0988871,0,1.3172
50,320,0.647486,0.9212,0.331809,0.244991,0.0695965,0,1.24339
50,330,0.629235,0.913124,0.269491,0.22923,0.0604774,0,1.18512
50,340,0.582604,0.911351,0.195124,0.210043,0.0452594,0,1.10284
50,350,0.543441,0.915981,0.116558,0.191108,0.0334262,0,1.02876
60,0,0.59272,0.906713,0.177103,0.418243,0.132251,0,1.22825
60,10,0.583733,0.888685,0.205145,0.423513,0.143439,0,1.23432
60,20,0.606194,0.905263,0.268978,0.439289,0.175506,0,1.31361
60,30,0.658819,0.894945,0.343661,0.458948,0.22023,0,1.40879
60,40,0.695169,0.900722,0.406771,0.473633,0.257044,0,1.49175
60,50,0.704425,0.918281,0.465319,0.486179,0.308807,0,1.5706
60,60,0.703458,0.922472,0.490418,0.490831,0.326853,0,1.59687
60,70,0.705901,0.931504,0.501455,0.499054,0.347086,0,1.62369
60,80,0.710455,0.940865,0.495417,0.510885,0.363531,0,1.6428
60,90,0.705378,0.946359,0.475025,0.528065,0.373487,0,1.6452
60,100,0.685316,0.945632,0.434783,0.544733,0.382727,0,1.62435
60,110,0.66229,0.941619,0.383797,0.561669,0.402945,0,1.60053
60,120,0.669867,0.933684,0.332703,0.585785,0.415634,0,1.5914
60,130,0.681695,0.921769,0.293037,0.618799,0.434523,0,1.5951
60,140,0.676963,0.911182,0.267059,0.655138,0.480265,0,1.61262
60,150,0.651976,0.921244,0.251068,0.688921,0.534929,0,1.63925
60,160,0.649727,0.916921,0.24734,0.717462,0.593269,0,1.67694
60,170,0.643809,0.918206,0.233902,0.731474,0.59445,0,1.6737
60,180,0.635787,0.912433,0.220798,0.733371,0.576317,0,1.64965
60,190,0.643418,0.913735,0.23258,0.731479,0.597581,0,1.67184
60,200,0.651442,0.919675,0.245502,0.717645,0.590519,0,1.67726
60,210,0.654753,0.931143,0.249643,0.689495,0.531106,0,1.64427
60,220,0.676737,0.920537,0.265839,0.655935,0.477704,0,1.6164
60,230,0.680563,0.921962,0.292305,0.620246,0.434736,0,1.59487
60,240,0.669689,0.932264,0.331682,0.587465,0.414805,0,1.59014
60,250,0.660726,0.939176,0.382675,0.563641,0.402356,0,1.59803
60,260,0.682027,0.942101,0.434999,0.546904,0.385604,0,1.62282
60,270,0.703512,0.948922,0.475535,0.530147,0.376966,0,1.64862
60,280,0.708325,0.942217,0.496491,0.513374,0.362018,0,1.64303
60,290,0.704065,0.931476,0.501783,0.501285,0.347657,0,1.62394
60,300,0.703962,0.926643,0.490669,0.493221,0.327216,0,1.60095
60,310,0.707176,0.923476,0.464652,0.488881,0.30951,0,1.5765
60,320,0.697051,0.905916,0.40544,0.475716,0.259644,0,1.49759
60,330,0.661711,0.899506,0.34154,0.460495,0.219136,0,1.41222
60,340,0.609041,0.9002,0.267933,0.440413,0.173798,0,1.31127
60,350,0.583948,0.889912,0.204817,0.423965,0.143659,0,1.23532
70,0,0.645051,0.905097,0.11221,0.733694,0.551298,0,1.58288
70,10,0.651783,0.899997,0.123434,0.726389,0.543741,0,1.5824
70,20,0.669044,0.915541,0.150157,0.719685,0.560007,0,1.62171
70,30,0.703384,0.93083,0.207411,0.723114,0.609325,0,1.70861
70,40,0.72639,0.930721,0.273046,0.713648,0.645053,0,1.77103
70,50,0.722641,0.917422,0.322446,0.701564,0.63987,0,1.77782
70,60,0.735211,0.937268,0.349803,0.698636,0.646517,0,1.81343
70,70,0.74085,0.955646,0.359586,0.705306,0.671721,0,1.84926
70,80,0.752367,0.956732,0.34717,0.714209,0.702138,0,1.8709
70,90,0.756214,0.956476,0.301849,0.728915,0.7192,0,1.86566
70,100,0.729743,0.957077,0.232825,0.74869,0.716783,0,1.82221
70,110,0.698772,0.946222,0.161017,0.768219,0.725212,0,1.77366
70,120,0.699752,0.940269,0.0931662,0.797047,0.774147,0,1.7752
70,130,0.696633,0.94424,0.0398941,0.833428,0.860896,0,1.81134
70,140,0.700288,0.956935,0.00592985,0.860668,0.943838,0,1.86068
70,150,0.706997,0.965278,0.0307155,0.886416,1,0,1.92329
70,160,0.713458,0.973355,0.0541387,0.90794,1,0,1.95233
70,170,0.70801,0.978289,0.0505651,0.911547,1,0,1.95168
70,180,0.716071,0.965045,0.0575219,0.91444,1,0,1.95321
70,190,0.708594,0.98014,0.056378,0.912307,1,0,1.95635
70,200,0.715691,0.978614,0.0611159,0.909064,1,0,1.96077
70,210,0.709078,0.96753,0.0357303,0.88724,1,0,1.92873
70,220,0.698704,0.956796,2.69561e-007,0.861576,0.939596,0,1.85471
70,230,0.696834,0.959731,0.0346771,0.834313,0.858684,0,1.81728
70,240,0.701369,0.948362,0.0900112,0.798136,0.777835,0,1.78191
70,250,0.698061,0.94851,0.15897,0.769773,0.728891,0,1.77623
70,260,0.728901,0.959509,0.231805,0.750351,0.72214,0,1.82627
70,270,0.753236,0.960146,0.300825,0.730137,0.719561,0,1.86626
70,280,0.748909,0.956612,0.346153,0.715229,0.703062,0,1.86916
70,290,0.737703,0.955637,0.357604,0.706756,0.67155,0,1.84686
70,300,0.732156,0.945108,0.347697,0.700065,0.648563,0,1.81694
70,310,0.71984,0.929053,0.319921,0.703085,0.6447,0,1.78512
70,320,0.725895,0.926443,0.268865,0.715015,0.646382,0,1.76735
70,330,0.706972,0.921641,0.202675,0.724399,0.606371,0,1.70177
70,340,0.672498,0.898,0.14584,0.720119,0.556878,0,1.60955
70,350,0.652755,0.913116,0.120508,0.726759,0.540431,0,1.58772
80,0,0.722871,0.948538,0.337217,0.928927,1,0,2.09302
80,10,0.75418,0.970918,0.29283,0.924041,1,0,2.10109
80,20,0.74519,0.973551,0.196551,0.903737,1,0,2.04102
80,30,0.742507,0.976669,0.115108,0.880047,0.979509,0,1.97981
80,40,0.754361,0.980818,0.0428043,0.859855,0.945563,0,1.92651
80,50,0.770845,0.972423,0.010769,0.846225,0.931273,0,1.90203
80,60,0.793703,0.96772,0.0424976,0.837102,0.920505,0,1.91922
80,70,0.795812,0.968757,0.0519781,0.834869,0.905644,0,1.91678
80,80,0.795353,0.984969,0.0342098,0.844815,0.922511,0,1.93061
80,90,0.785,0.98326,0.00716113,0.858905,0.949803,0,1.93049
80,100,0.767839,0.984024,0.0779787,0.878174,0.975611,0,1.97796
80,110,0.742115,0.986646,0.170975,0.904843,1,0,2.03468
80,120,0.733445,0.988358,0.233766,0.917187,1,0,2.06684
80,130,0.751286,0.994899,0.254269,0.924501,1,0,2.09465
80,140,0.779434,1,0.285022,0.939284,1,0,2.13589
80,150,0.793929,1,0.260468,0.941917,1,0,2.13336
80,160,0.7954,1,0.239666,0.943521,1,0,2.12448
80,170,0.791866,1,0.22536,0.945831,1,0,2.11613
80,180,0.780994,1,0.223827,0.945286,1,0,2.10862
80,190,0.791899,1,0.228108,0.946139,1,0,2.11765
80,200,0.796184,1,0.243362,0.944014,1,0,2.127
80,210,0.792305,1,0.263876,0.942439,1,0,2.1343
80,220,0.777835,1,0.290167,0.94017,1,0,2.13785
80,230,0.749518,0.998504,0.261966,0.925668,1,0,2.10006
80,240,0.732063,0.987794,0.240363,0.918321,1,0,2.06942
80,250,0.742106,0.992764,0.176375,0.905879,1,0,2.04146
80,260,0.765356,0.98728,0.0815819,0.879312,0.977652,0,1.98181
80,270,0.783872,0.986869,0.010826,0.859939,0.949426,0,1.93402
80,280,0.793581,0.984959,0.0307831,0.845841,0.92177,0,1.92783
80,290,0.794273,0.975686,0.0463888,0.836484,0.91102,0,1.92082
80,300,0.792076,0.973635,0.0374804,0.838756,0.919952,0,1.91964
80,310,0.767208,0.962851,0.00503367,0.847587,0.931268,0,1.89179
80,320,0.751439,0.959116,0.050062,0.861509,0.944815,0,1.91562
80,330,0.740256,0.958568,0.122817,0.881544,0.977112,0,1.97073
80,340,0.742574,0.974003,0.206072,0.905268,1,0,2.04509
80,350,0.749517,0.98108,0.304372,0.925669,1,0,2.11081
90,0,0.823362,1,0.807354,0.993306,1,0,2.44502
90,10,0.803414,1,0.598554,0.974835,1,0,2.32126
90,20,0.801842,1,0.509812,0.962182,1,0,2.27088
90,30,0.777666,1,0.439609,0.950668,1,0,2.21667
90,40,0.782552,1,0.385082,0.939554,1,0,2.18789
90,50,0.791813,0.996695,0.338208,0.930408,1,0,2.16437
90,60,0.803755,0.992769,0.30828,0.926916,1,0,2.15282
90,70,0.810745,0.986379,0.293951,0.925377,1,0,2.1454
90,80,0.809384,0.984528,0.301863,0.928408,1,0,2.14864
90,90,0.784494,0.99282,0.337069,0.93719,1,0,2.1598
90,100,0.771912,1,0.388906,0.950515,1,0,2.18781
90,110,0.771609,1,0.452068,0.96247,1,0,2.22399
90,120,0.787663,1,0.52117,0.969625,1,0,2.27103
90,130,0.789696,1,0.544546,0.969429,1,0,2.28386
90,140,0.80549,1,0.49953,0.964128,1,0,2.26871
90,150,0.827175,1,0.437085,0.961301,1,0,2.24937
90,160,0.843108,1,0.397453,0.959858,1,0,2.23853
90,170,0.842315,1,0.385446,0.960459,1,0,2.2323
90,180,0.853896,1,0.377616,0.960864,1,0,2.23549
90,190,0.841036,1,0.385017,0.960439,1,0,2.23131
90,200,0.83893,1,0.399931,0.960135,1,0,2.23738
90,210,0.825924,1,0.439875,0.961523,1,0,2.2501
90,220,0.802679,1,0.502848,0.964376,1,0,2.26878
90,230,0.78876,1,0.553815,0.970285,1,0,2.28828
90,240,0.786577,1,0.531741,0.97075,1,0,2.27612
90,250,0.772547,1,0.459372,0.96334,1,0,2.22855
90,260,0.771703,0.996946,0.394516,0.951625,1,0,2.1891
90,270,0.784031,0.99287,0.342873,0.938519,1,0,2.16298
90,280,0.807876,0.98343,0.307058,0.92964,1,0,2.15017
90,290,0.809317,0.983355,0.300178,0.926822,1,0,2.14642
90,300,0.803706,0.985369,0.315518,0.92837,1,0,2.15255
90,310,0.788869,0.988144,0.346186,0.931915,1,0,2.16207
90,320,0.776075,0.988786,0.393581,0.941073,1,0,2.18214
90,330,0.772909,0.999092,0.448972,0.952108,1,0,2.21853
90,340,0.797675,0.995373,0.51759,0.963356,1,0,2.26997
90,350,0.80308,1,0.606138,0.975601,1,0,2.32516
